"title","description","price","sale_price","category","variants","image_url"
"American Diamond Paisley Minimalist Maang Tikka","Elegant minimalist maang tikka in American Diamond, designed to elevate any daily wear look.","8459","","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1053"
"Polki Heart Boho Maang Tikka","Handcrafted Polki maang tikka featuring a heart motif, ideal for festive occasions.","5799","3519","Maang Tikka","Silver, Kundan, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1054"
"Oxidised Silver Jhumka Contemporary Maang Tikka","Elegant contemporary maang tikka in Oxidised Silver, designed to elevate any festive occasions look.","2679","","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1055"
"Antique Choker Traditional Mangalsutra","Traditional mangalsutra with intricate choker detailing and a lightweight Antique body.","18059","15689","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1056"
"Meenakari Leaf Handcrafted Jewellery Sets","Elegant handcrafted jewellery set in Meenakari, designed to elevate any traditional ceremonies look.","33459","26919","Jewellery Sets","Rose Gold, Gold, Silver","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1057"
"Beaded Layered Handcrafted Bangles","Elegant handcrafted bangle set in Beaded, designed to elevate any gifting look.","6509","5459","Bangles","2.10, 2.4","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1058"
"Meenakari Chandbali Everyday Pendants","Everyday pendant with intricate chandbali detailing and a lightweight Meenakari body.","5049","4369","Pendants","Gold, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1059"
"Filigree Leaf Designer Jewellery Sets","Designer jewellery set with intricate leaf detailing and a lightweight Filigree body.","32369","","Jewellery Sets","Rose Gold, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1060"
"Rose Gold Cluster Party Wear Bracelets","Elegant party wear bracelet in Rose Gold, designed to elevate any gifting look.","7669","","Bracelets","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1061"
"Oxidised Silver Infinity Contemporary Bracelets","Contemporary bracelet with intricate infinity detailing and a lightweight Oxidised Silver body.","5869","4399","Bracelets","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1062"
"Jadau Infinity Contemporary Jewellery Sets","Elegant contemporary jewellery set in Jadau, designed to elevate any weddings look.","22409","14569","Jewellery Sets","Silver, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1063"
"Jadau Paisley Vintage Necklaces","Elegant vintage necklace in Jadau, designed to elevate any daily wear look.","17579","10609","Necklaces","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1064"
"Meenakari Leaf Royal Necklaces","Handcrafted Meenakari necklace featuring a leaf motif, ideal for daily wear.","5239","","Necklaces","Rose Gold, Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1065"
"Jadau Teardrop Contemporary Toe Rings","Contemporary toe ring with intricate teardrop detailing and a lightweight Jadau body.","439","309","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1066"
"Cubic Zirconia Peacock Statement Bracelets","Elegant statement bracelet in Cubic Zirconia, designed to elevate any festive occasions look.","10689","","Bracelets","Gold, Silver","https://loremflickr.com/600/600/bracelet,jewellery?lock=1067"
"Oxidised Silver Lotus Bridal Rings","Elegant bridal ring in Oxidised Silver, designed to elevate any gifting look.","5929","4299","Rings","6, 8, 9, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1068"
"Beaded Teardrop Contemporary Jewellery Sets","Beaded teardrop jewellery set with a contemporary finish — perfect for parties.","20339","","Jewellery Sets","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1069"
"American Diamond Chandbali Everyday Chains","American Diamond chandbali chain with a everyday finish — perfect for traditional ceremonies.","14439","8899","Chains","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1070"
"Jadau Layered Vintage Jewellery Sets","Vintage jewellery set with intricate layered detailing and a lightweight Jadau body.","20839","15379","Jewellery Sets","Silver, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1071"
"Meenakari Lotus Traditional Maang Tikka","A timeless Meenakari maang tikka — lotus-inspired design that pairs beautifully for weddings.","4449","","Maang Tikka","Silver, Gold, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1072"
"Pearl Temple Coin Party Wear Toe Rings","Party Wear toe ring with intricate temple coin detailing and a lightweight Pearl body.","769","589","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1073"
"Antique Geometric Ethnic Anklets","Ethnic anklet with intricate geometric detailing and a lightweight Antique body.","1719","1359","Anklets","Gold, Oxidised, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1074"
"Meenakari Geometric Ethnic Pendants","Ethnic pendant with intricate geometric detailing and a lightweight Meenakari body.","6829","5079","Pendants","Silver, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1075"
"Rose Gold Leaf Handcrafted Bangles","Handcrafted bangle set with intricate leaf detailing and a lightweight Rose Gold body.","11239","6899","Bangles","2.10, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1076"
"Oxidised Silver Heart Vintage Necklaces","Vintage necklace with intricate heart detailing and a lightweight Oxidised Silver body.","11679","8809","Necklaces","Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1077"
"American Diamond Jhumka Party Wear Chains","Party Wear chain with intricate jhumka detailing and a lightweight American Diamond body.","9239","","Chains","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1078"
"Temple Paisley Everyday Anklets","Elegant everyday anklet in Temple, designed to elevate any gifting look.","969","799","Anklets","Oxidised, Gold, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1079"
"Filigree Paisley Royal Brooches","Elegant royal brooch in Filigree, designed to elevate any parties look.","4059","2829","Brooches","Antique, Silver, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1080"
"Oxidised Silver Layered Handcrafted Jewellery Sets","Handcrafted jewellery set with intricate layered detailing and a lightweight Oxidised Silver body.","18299","","Jewellery Sets","Gold, Rose Gold, Silver","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1081"
"American Diamond Peacock Party Wear Chains","A timeless American Diamond chain — peacock-inspired design that pairs beautifully for traditional ceremonies.","2969","2269","Chains","Rose Gold, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1082"
"American Diamond Paisley Office Wear Necklaces","Elegant office wear necklace in American Diamond, designed to elevate any anniversaries look.","3949","3439","Necklaces","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1083"
"Filigree Peacock Royal Pendants","Filigree peacock pendant with a royal finish — perfect for festive occasions.","5559","4319","Pendants","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1084"
"Pearl Jhumka Vintage Nose Pins","Elegant vintage nose pin in Pearl, designed to elevate any anniversaries look.","3999","2759","Nose Pins","Rose Gold, Silver","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1085"
"Oxidised Silver Choker Festive Rings","Oxidised Silver choker ring with a festive finish — perfect for anniversaries.","19339","","Rings","7, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1086"
"Oxidised Silver Paisley Party Wear Maang Tikka","Elegant party wear maang tikka in Oxidised Silver, designed to elevate any daily wear look.","4499","3019","Maang Tikka","Silver, Gold, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1087"
"Beaded Jhumka Ethnic Earrings","Ethnic earrings with intricate jhumka detailing and a lightweight Beaded body.","7449","","Earrings","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/earrings,jewellery?lock=1088"
"Diamond-Cut Cluster Handcrafted Bangles","Diamond-Cut cluster bangle set with a handcrafted finish — perfect for weddings.","10419","8289","Bangles","2.10, 2.6","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1089"
"Filigree Jhumka Royal Nathiya (Nose Ring)","Handcrafted Filigree nath featuring a jhumka motif, ideal for festive occasions.","4569","3189","Nathiya (Nose Ring)","Gold, Kundan","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1090"
"Sterling Silver Temple Coin Statement Nathiya (Nose Ring)","Statement nath with intricate temple coin detailing and a lightweight Sterling Silver body.","1339","1079","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1091"
"American Diamond Cluster Boho Bangles","Elegant boho bangle set in American Diamond, designed to elevate any office wear look.","9699","6559","Bangles","2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1092"
"Polki Lotus Party Wear Toe Rings","Polki lotus toe ring with a party wear finish — perfect for anniversaries.","489","","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1093"
"Meenakari Geometric Festive Necklaces","Meenakari geometric necklace with a festive finish — perfect for parties.","16399","13279","Necklaces","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1094"
"Gold-Plated Solitaire Handcrafted Nose Pins","Gold-Plated solitaire nose pin with a handcrafted finish — perfect for daily wear.","2799","1729","Nose Pins","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1095"
"Sterling Silver Leaf Statement Necklaces","Elegant statement necklace in Sterling Silver, designed to elevate any anniversaries look.","5299","4499","Necklaces","Rose Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1096"
"American Diamond Choker Everyday Maang Tikka","Elegant everyday maang tikka in American Diamond, designed to elevate any parties look.","2319","","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1097"
"Beaded Cluster Minimalist Nose Pins","Minimalist nose pin with intricate cluster detailing and a lightweight Beaded body.","699","","Nose Pins","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1098"
"Polki Temple Coin Royal Bangles","Handcrafted Polki bangle set featuring a temple coin motif, ideal for parties.","2499","","Bangles","2.10, 2.4, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1099"
"Temple Infinity Handcrafted Earrings","A timeless Temple earrings — infinity-inspired design that pairs beautifully for gifting.","4319","2769","Earrings","Gold, Rose Gold, Oxidised, Silver","https://loremflickr.com/600/600/earrings,jewellery?lock=1100"
"Pearl Floral Contemporary Toe Rings","Handcrafted Pearl toe ring featuring a floral motif, ideal for gifting.","469","379","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1101"
"American Diamond Choker Vintage Necklaces","A timeless American Diamond necklace — choker-inspired design that pairs beautifully for parties.","18739","11579","Necklaces","Rose Gold, Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1102"
"Sterling Silver Jhumka Vintage Maang Tikka","Vintage maang tikka with intricate jhumka detailing and a lightweight Sterling Silver body.","8199","4989","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1103"
"Kundan Paisley Ethnic Earrings","A timeless Kundan earrings — paisley-inspired design that pairs beautifully for anniversaries.","1579","1219","Earrings","Silver, Rose Gold, Oxidised, Gold","https://loremflickr.com/600/600/earrings,jewellery?lock=1104"
"Polki Infinity Royal Earrings","Polki infinity earrings with a royal finish — perfect for office wear.","7539","4999","Earrings","Oxidised, Rose Gold, Silver","https://loremflickr.com/600/600/earrings,jewellery?lock=1105"
"Antique Chandbali Designer Anklets","Antique chandbali anklet with a designer finish — perfect for festive occasions.","3459","","Anklets","Oxidised, Silver, Gold","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1106"
"Polki Cluster Vintage Anklets","Vintage anklet with intricate cluster detailing and a lightweight Polki body.","1459","1109","Anklets","Gold, Oxidised, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1107"
"Cubic Zirconia Peacock Royal Brooches","Royal brooch with intricate peacock detailing and a lightweight Cubic Zirconia body.","2759","1929","Brooches","Antique, Gold, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1108"
"Polki Cluster Ethnic Brooches","A timeless Polki brooch — cluster-inspired design that pairs beautifully for gifting.","1339","","Brooches","Gold, Silver, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1109"
"Pearl Jhumka Statement Necklaces","Pearl jhumka necklace with a statement finish — perfect for daily wear.","12629","8219","Necklaces","Silver, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1110"
"Gold-Plated Infinity Contemporary Jewellery Sets","Gold-Plated infinity jewellery set with a contemporary finish — perfect for daily wear.","27649","19229","Jewellery Sets","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1111"
"Sterling Silver Lotus Designer Rings","A timeless Sterling Silver ring — lotus-inspired design that pairs beautifully for festive occasions.","9719","6979","Rings","6, 8, 9, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1112"
"Cubic Zirconia Jhumka Contemporary Pendants","Handcrafted Cubic Zirconia pendant featuring a jhumka motif, ideal for anniversaries.","6049","","Pendants","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1113"
"Sterling Silver Infinity Traditional Maang Tikka","Elegant traditional maang tikka in Sterling Silver, designed to elevate any festive occasions look.","5639","","Maang Tikka","Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1114"
"Filigree Choker Vintage Necklaces","Filigree choker necklace with a vintage finish — perfect for anniversaries.","7259","5439","Necklaces","Silver, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1115"
"Sterling Silver Floral Office Wear Brooches","Office Wear brooch with intricate floral detailing and a lightweight Sterling Silver body.","4159","","Brooches","Antique, Silver, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1116"
"Diamond-Cut Solitaire Traditional Earrings","Traditional earrings with intricate solitaire detailing and a lightweight Diamond-Cut body.","3309","","Earrings","Oxidised, Silver, Rose Gold, Gold","https://loremflickr.com/600/600/earrings,jewellery?lock=1117"
"Cubic Zirconia Layered Handcrafted Bangles","Cubic Zirconia layered bangle set with a handcrafted finish — perfect for festive occasions.","9579","8079","Bangles","2.10, 2.4, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1118"
"Temple Cluster Everyday Mangalsutra","Temple cluster mangalsutra with a everyday finish — perfect for daily wear.","13499","","Mangalsutra","Gold, Rose Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1119"
"Temple Paisley Bridal Bracelets","A timeless Temple bracelet — paisley-inspired design that pairs beautifully for office wear.","11439","9909","Bracelets","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1120"
"Antique Temple Coin Bridal Brooches","A timeless Antique brooch — temple coin-inspired design that pairs beautifully for festive occasions.","959","739","Brooches","Antique, Gold, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1121"
"Beaded Peacock Party Wear Bracelets","A timeless Beaded bracelet — peacock-inspired design that pairs beautifully for weddings.","1629","1109","Bracelets","Gold, Rose Gold, Silver","https://loremflickr.com/600/600/bracelet,jewellery?lock=1122"
"Temple Leaf Ethnic Nose Pins","A timeless Temple nose pin — leaf-inspired design that pairs beautifully for daily wear.","2349","1449","Nose Pins","Rose Gold, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1123"
"Oxidised Silver Temple Coin Vintage Necklaces","Vintage necklace with intricate temple coin detailing and a lightweight Oxidised Silver body.","15899","12249","Necklaces","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1124"
"Sterling Silver Solitaire Boho Chains","Elegant boho chain in Sterling Silver, designed to elevate any festive occasions look.","1979","1499","Chains","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1125"
"American Diamond Cluster Everyday Maang Tikka","A timeless American Diamond maang tikka — cluster-inspired design that pairs beautifully for festive occasions.","5779","","Maang Tikka","Silver, Kundan, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1126"
